,RV_actual,RV_forecast_best,RV_forecast_ensemble
2017-06-29,4.881729073401705e-05,0.00014081448847068283,0.00011393441014374535
2017-06-30,2.170792637823937e-05,9.523229642153891e-05,8.940664000750129e-05
2017-07-03,1.9287662582462854e-05,7.109981263078417e-05,7.591855741177612e-05
2017-07-04,4.255073452199102e-05,6.971830260807775e-05,7.373857517794513e-05
2017-07-05,5.45869469542293e-05,9.156704159978485e-05,8.523536460510253e-05
2017-07-06,2.2377460091003113e-05,0.00010345890474736105,9.126516351025684e-05
2017-07-07,1.812608992087082e-05,7.468125410029285e-05,7.494795934051401e-05
2017-07-10,2.650808452336868e-05,7.05309970748431e-05,7.228727835671132e-05
2017-07-11,2.3636771872437025e-05,7.758653527268697e-05,7.501079509520032e-05
2017-07-12,1.386849602413021e-05,7.512640392584221e-05,7.308845591948873e-05
2017-07-13,1.786778941188958e-05,6.717479246301721e-05,6.818912361655388e-05
2017-07-14,2.8927637911574783e-05,7.084065849376422e-05,6.965808604280784e-05
2017-07-17,4.4091625330579536e-05,8.004890295043409e-05,7.42071350734368e-05
2017-07-18,2.3115662818721995e-05,9.349795680347575e-05,8.146501660810476e-05
2017-07-19,5.418030547766996e-05,7.436597561715936e-05,7.163162779618425e-05
2017-07-20,6.803293186802288e-05,0.00010191741422123909,8.73074865310725e-05
2017-07-21,4.9683510447685475e-05,0.00011334326930185855,9.407845780385517e-05
2017-07-24,3.600088615360816e-05,9.653537850370175e-05,8.607390368217611e-05
2017-07-25,3.177810010806245e-05,8.429717691132886e-05,7.90568242718734e-05
2017-07-26,3.492301195846472e-05,8.021881065178497e-05,7.712984189397723e-05
2017-07-27,4.0588502453383545e-05,8.336608145689054e-05,7.791764680011395e-05
2017-07-28,2.6385560978659662e-05,8.879324246271371e-05,7.996611125150971e-05
2017-07-31,4.415889193357527e-05,7.597395452260668e-05,7.17771747507924e-05
2017-08-01,3.598586995287145e-05,9.167844575303446e-05,8.01523208794277e-05
2017-08-02,3.315801556243873e-05,8.43120490412837e-05,7.657181339211513e-05
2017-08-03,4.343033256904247e-05,8.187573209751549e-05,7.542871400219073e-05
2017-08-04,2.06312825939723e-05,9.114284976303116e-05,8.042135340320582e-05
2017-08-07,2.262823507577872e-05,7.026841177247403e-05,6.876329463895575e-05
2017-08-08,6.107283513589853e-05,7.253197645842451e-05,6.945257485379385e-05
2017-08-09,5.988385645241327e-05,0.00010704673448334634,8.877646866454827e-05
2017-08-10,5.877830247628145e-05,0.00010557226012844323,8.900006306474097e-05
2017-08-11,2.5147995203100235e-05,0.00010480822294710955,8.942375406926288e-05
2017-08-14,2.3237820902323857e-05,7.430385466140833e-05,7.344974235559751e-05
2017-08-15,1.315453817611904e-05,7.236582311120578e-05,7.239765874165918e-05
2017-08-16,4.107457536976707e-05,6.455759228973879e-05,6.708062017382206e-05
2017-08-17,4.0395079650706016e-05,9.011093614003455e-05,8.02408075210095e-05
2017-08-18,3.3895738199860614e-05,8.992659063405373e-05,8.02715107971329e-05
2017-08-21,1.937079092375561e-05,8.388710836062396e-05,7.685806178373774e-05
2017-08-22,3.671455491672806e-05,7.033254762107059e-05,6.888287911319521e-05
2017-08-23,2.158086515854648e-05,8.536593679782649e-05,7.705940444573682e-05
2017-08-24,3.7845882598587146e-05,7.202061319549773e-05,6.932748663250485e-05
2017-08-25,3.0305827019303235e-05,8.681939425961485e-05,7.738039187632464e-05
2017-08-28,4.914652851018518e-05,7.995344391617907e-05,7.364618289662973e-05
2017-08-29,1.886542469182396e-05,9.647775310895773e-05,8.316611683986754e-05
2017-08-30,1.738688438478452e-05,6.945686988759179e-05,6.813879373137196e-05
2017-08-31,3.495914378350692e-05,6.795169087231555e-05,6.694557849937952e-05
2017-09-01,1.650200010708268e-05,8.389934896092158e-05,7.517716529693439e-05
2017-09-04,2.7810100792873864e-05,6.730371100397622e-05,6.612736975399494e-05
2017-09-05,2.9857378860322623e-05,7.794214632164242e-05,7.109083863771342e-05
2017-09-06,4.7739422908937536e-05,7.967981288083268e-05,7.220260547438463e-05
2017-09-07,3.1281445510674936e-05,9.52656556016707e-05,8.138935802551944e-05
2017-09-08,1.6220884403009422e-05,8.036365513604565e-05,7.306596946987183e-05
2017-09-11,9.073689778792913e-06,6.64056801224139e-05,6.495374697761567e-05
2017-09-12,1.179935868719896e-05,5.992952921874282e-05,6.0561423914784865e-05
2017-09-13,1.690407796606346e-05,6.268321698142525e-05,6.135965401098737e-05
2017-09-14,2.2120382072624876e-05,6.76888765914568e-05,6.359509845029553e-05
2017-09-15,1.0700237783076262e-05,7.282288639901826e-05,6.610716781811751e-05
2017-09-18,7.536719580153963e-06,6.223454576437393e-05,6.012996108894969e-05
2017-09-19,1.1075047260128463e-05,5.9309213973456396e-05,5.8012596989369295e-05
