,RVD_tot,RVW_tot,RVM_tot,logRVD_tot,logRVW_tot,logRVM_tot,RVD_pos_tot,RVD_neg_tot,RD_neg_tot,RW_neg_tot,RM_neg_tot,RQ_tot
2017-03-23,2.0871372723197623e-05,4.3330154772394235e-05,4.207260859096568e-05,-10.777132064088667,-10.046661750273435,-10.076113656318704,1.3531550308693723e-05,7.3398224145039e-06,0.0,0.0,0.0,6.567295864629675e-10
2017-03-24,2.1311403127862248e-05,4.304937155965357e-05,4.114587015031235e-05,-10.756268270386327,-10.05316292511454,-10.098386996744942,8.29205156758147e-06,1.3019351560280773e-05,-0.0020184743596010145,0.0,0.0,5.721755325749668e-10
2017-03-27,0.0001844087874603635,7.485927805031496e-05,4.8798487827825345e-05,-8.598355593636846,-9.499900499532425,-9.92781123272001,1.3439856726502516e-05,0.00017096893073386096,-0.0025957769999864003,-0.0002920090680884102,0.0,2.690427069850396e-08
2017-03-28,3.578505915374645e-05,7.15388380910168e-05,4.86340585658857e-05,-10.237980093743182,-9.545270065654494,-9.93118647896221,3.114415313839552e-05,4.640906015350937e-06,0.0,0.0,0.0,8.633136467025175e-10
2017-03-29,2.7063892445207986e-05,5.7888102982075516e-05,4.827550996585259e-05,-10.517310100584512,-9.756998669764657,-9.938586165938478,2.0506381769990292e-05,6.557510675217693e-06,0.0,0.0,0.0,4.776817157077227e-10
2017-03-30,8.375046052210202e-06,5.5388837647878034e-05,4.744790826978303e-05,-11.690253981496895,-9.801132471012565,-9.955878116708611,5.004270187122257e-06,3.3707758650879466e-06,0.0,0.0,0.0,7.954924889915297e-11
2017-03-31,3.001229206047045e-05,5.712901543439967e-05,4.25927559794065e-05,-10.41390352487171,-9.770198419152011,-10.063826366580425,7.632522627864452e-06,2.2379769432606e-05,0.0,0.0,0.0,4.73101316470276e-10
2017-04-03,3.501798356009576e-05,2.725085465434613e-05,4.3692331767883424e-05,-10.259648812430367,-10.510425673884601,-10.038337945679311,2.5556955649269317e-05,9.461027910826441e-06,-0.0055279110231512465,0.0,0.0,6.375083942305218e-10
2017-04-04,1.8452110333560023e-05,2.3784264890308843e-05,4.205776161154943e-05,-10.900331812796006,-10.646486334998306,-10.076466608041956,8.702599263951398e-06,9.749511069608626e-06,0.0,0.0,0.0,3.114230447189481e-10
2017-04-05,2.8716818966815693e-05,2.4114850194630382e-05,4.130834395619566e-05,-10.458027580126982,-10.632682716586608,-10.094446045565505,1.8146960761057156e-05,1.0569858205758537e-05,-0.002374474234437541,-0.00019930532803775388,0.0,1.4013347651237805e-09
